Product ID : 2116 # of JPs covered : 1 : 277 : ERISA-Employee Benefits, 
us_000564868,0.340555, 0.858551
us_000481482,0.340555, 0.859857
us_000500363,0.340555, 0.868929
us_000457345,0.340555, 0.868964
us_000517191,0.340555, 0.876687
us_000348304,0.340555, 0.905999
us_000481752,0.340555, 0.927077
us_000498657,0.340555, 0.930117
us_000559829,0.340555, 0.942269
us_000524112,0.340555, 0.960538
us_000481635,0.340555, 1.000574
us_000475422,0.340555, 1.045114
us_000562386,0.340555, 2.163853
