Jp & Jpg Data for Prospect data.
Num Jps=,333,Num  JpGrps=,61
Jp,JpIDX,Jp Name,Jpgrp,JpgrpIDX,Jpgrp Name,# JpSeen, # JpOrderSeen,# JpOptSeen,# JpLinkSeen,# JpSourceSeen,
224,74,Employment Litigation,64,58,Employment Litigation,39179,0,0,5581,36633,
225,75,Patent Litigation,36,33,Intellectual Property Law - Patents,24045,0,0,4079,22586,
226,76,Healthcare Litigation,65,59,Healthcare Compliance,13883,0,0,1066,13227,
227,77,Securities Litigation,20,19,Corporate Finance,11203,0,0,31,11179,
228,78,Solo,37,34,Smaller Firms Practice,16184,0,0,0,16184,
229,79,Environmental Litigation,7,6,Environmental,14483,0,0,2626,13192,
230,80,Real Property Litigation,19,18,Real Property Transactions,18424,0,0,0,18424,
231,81,Labor Litigation,64,58,Employment Litigation,23887,0,0,0,23887,
232,82,ERISA Litigation,8,7,ERISA,14991,0,0,1856,14127,
233,83,Banking Litigation,2,1,Banking,8565,0,0,2511,6683,
234,84,Bankruptcy Litigation,3,2,Bankruptcy,17015,0,0,1919,16038,
235,85,Copyrights Litigation,13,12,Intellectual Property Law - Other,8690,0,0,132,8606,
236,86,Trademarks Litigation,13,12,Intellectual Property Law - Other,13305,0,0,944,12788,
237,87,Antitrust Litigation,1,0,Antitrust,9313,0,0,170,9239,
238,88,Corp Finance Litigation,20,19,Corporate Finance,934,0,0,0,934,
239,89,Energy-Litigation,51,45,Energy,3708,0,0,0,3708,
240,90,Corporate Litigation,9,8,Corporate Law,39214,0,0,39,39189,
241,91,International Litigation,14,13,International Law,4968,0,0,33,4949,
242,92,Tax Law-Litigation,21,20,Tax Law,4794,0,0,226,4614,
243,93,Family Law,38,35,Family Law,30071,0,509,9133,26627,
244,94,Tax Law-Non-Profit,21,20,Tax Law,4446,0,0,292,4221,
245,95,Financial Services Litigation,2,1,Banking,2002,0,0,0,2002,
246,96,M&A Litigation,35,32,Mergers & Acquisitions,1678,0,0,226,1477,
247,97,Accounting-Accounting Only,26,24,Accounting All,5612,0,0,861,4819,
248,98,Accounting-Audit/Assurance Only,26,24,Accounting All,16152,0,499,2189,14696,
249,99,Accounting-Corporate/Business Tax,26,24,Accounting All,5892,0,0,0,5892,
250,100,Energy-Finance,51,45,Energy,3682,0,0,1097,2838,
251,101,Environmental-Real Property,7,6,Environmental,4410,0,0,0,4410,
252,102,Elder Law,41,38,Elder Law,16966,0,529,7057,12730,
253,103,M&A Finance,35,32,Mergers & Acquisitions,13614,0,0,54,13580,
254,104,M&A Corporate,35,32,Mergers & Acquisitions,14902,0,0,0,14902,
255,105,Estate Planning,42,39,Estate Planning,31979,0,966,11057,25578,
256,106,Tax Law-Real Property,21,20,Tax Law,6669,0,0,1564,5339,
257,107,Entertainment/Sports/Media,13,12,Intellectual Property Law - Other,5075,0,40,67,4974,
258,108,Government Affairs,45,40,Government Affairs,5058,0,0,0,5058,
259,109,Science/Technology,13,12,Intellectual Property Law - Other,11371,0,48,650,10855,
260,110,Lawyering Skills,47,41,Lawyering Skills,768,0,0,693,93,
261,111,Bankruptcy-Real Property,3,2,Bankruptcy,5507,0,0,1004,4673,
262,112,Estate Planning-Trusts & Estates,42,39,Estate Planning,25923,0,0,8394,20462,
263,113,Estate Planning-Wills & Probate,42,39,Estate Planning,23113,0,0,1368,22160,
264,114,Zoning,18,17,Municipal Law,9520,0,0,0,9520,
265,115,Construction Law,48,42,Construction Law,19413,0,562,2800,17278,
266,116,Appellate Practice,49,43,Appellate Practice,19935,0,307,1370,19275,
267,117,Criminal Law,50,44,Criminal Law,15968,0,226,308,15674,
268,118,Bankruptcy Debtor and Creditor,3,2,Bankruptcy,3389,0,0,0,3389,
269,119,Personal Injury,52,46,Personal Injury,60919,0,505,8025,58128,
270,120,RP-CorpFin Venn,63,57,Real Property Finance,4281,0,0,0,4281,
271,121,RP-Banking Venn,63,57,Real Property Finance,6278,0,0,0,6278,
272,122,Insurance-RP Venn,12,11,Insurance Non-Litigation,5147,0,0,0,5147,
273,123,Insurance-Construction Venn,12,11,Insurance Non-Litigation,5,0,0,0,5,
274,124,Employment-Class Action Venn,64,58,Employment Litigation,5649,0,0,0,5649,
275,125,Bankruptcy-Banking Venn,3,2,Bankruptcy,3883,0,0,0,3883,
276,126,ERISA-Executive Compensation,8,7,ERISA,5574,0,0,3144,3230,
277,127,ERISA-Employee Benefits,8,7,ERISA,7550,0,0,692,7218,
278,128,Estate Planning-Tax,42,39,Estate Planning,13774,0,0,6022,9039,
279,129,Professional Liability,54,48,Professional Liability,13600,0,302,627,13087,
280,130,Medical Malpractice,55,49,Medical Malpractice,17128,0,217,1985,15819,
281,131,Workers Compensation,56,50,Workers Compensation,15022,0,227,1518,14608,
282,132,Acct Tax-Federal Tax,57,51,Accounting/Tax,400,0,0,321,94,
283,133,LoanDoc-Commercial Finance,61,55,Loan Doc,7519,0,385,4212,3649,
284,134,Banking Regulatory,2,1,Banking,1646,0,0,1185,573,
285,135,Bankruptcy Consumer,3,2,Bankruptcy,1185,0,0,829,422,
286,136,Corp Law Business Entities,9,8,Corporate Law,1756,0,0,1746,17,
287,137,Corp Law Operational,9,8,Corporate Law,721,0,0,710,15,
288,138,Emp-Wage Hour,6,5,Employment Non-Litigation,3400,0,0,1886,1669,
289,139,Employ Associates,6,5,Employment Non-Litigation,237,0,0,216,31,
290,140,Emp-Labor/Unions,6,5,Employment Non-Litigation,3451,0,0,1118,2448,
291,141,Healthcare Business,10,9,Healthcare Business,6818,0,0,6445,820,
292,142,Healthcare Compliance,65,59,Healthcare Compliance,7111,0,0,6585,1126,
293,143,Insurance Coverage,12,11,Insurance Non-Litigation,8670,0,0,6797,2646,
294,144,Insurance Associates,12,11,Insurance Non-Litigation,249,0,0,202,58,
295,145,Tax Law-Partnership,21,20,Tax Law,10051,0,0,6584,4252,
296,146,Construction Litigation,48,42,Construction Law,14042,0,0,1442,13237,
297,147,Emp-Lit-Wage Hour,64,58,Employment Litigation,8101,0,0,3470,5478,
298,148,Accounting-Circular A-133,26,24,Accounting All,7494,0,0,0,7494,
299,149,Municipal Litigation,18,17,Municipal Law,3540,0,0,71,3482,
300,150,Bankruptcy Consumer Litigation,3,2,Bankruptcy,51,0,0,0,51,
301,151,Cost Segregation,27,25,Corporate Tax All,102,0,0,0,102,
302,152,International Tax,27,25,Corporate Tax All,1475,0,0,0,1475,
303,153,Health Business M&A,10,9,Healthcare Business,1651,0,0,284,1408,
304,154,Adoption Law,38,35,Family Law,1147,0,0,0,1147,
305,155,Tax Preparer-Business Domains-CPA*,59,53,Tax Return Preparer,106786,0,0,0,106786,
306,156,Tax Preparer-Already in Dbase*,59,53,Tax Return Preparer,25835,0,0,0,25835,
307,157,Tax Preparer-Personal Domains-CPA*,59,53,Tax Return Preparer,90643,0,0,0,90643,
308,158,Tax Preparer-Business Domains-Not-CPA*,59,53,Tax Return Preparer,88397,0,0,0,88397,
309,159,Tax Preparer-Federal Tax Programs*,59,53,Tax Return Preparer,1,0,0,0,1,
312,160,Health Business Antitrust,10,9,Healthcare Business,914,0,0,137,795,
313,161,Enrolled Agents-Business Domains,60,54,Enrolled Agents,12113,0,0,0,12113,
314,162,Tax Preparer-Personal Domains-Not-CPA*,59,53,Tax Return Preparer,21741,0,0,0,21741,
315,163,Enrolled Agents-Ethics-Programs,60,54,Enrolled Agents,5126,0,0,5106,34,
317,164,Enrolled Agents-Personal Domains,60,54,Enrolled Agents,43583,0,0,0,43583,
318,165,Retail,19,18,Real Property Transactions,876,0,0,0,876,
319,166,Enrolled Agents-General-Programs,60,54,Enrolled Agents,5804,0,0,5765,66,
320,167,IP-Intl Venn (IP-Trade-Copy-Patent),13,12,Intellectual Property Law - Other,1735,0,0,0,1735,
321,168,Litigation-Only,17,16,Litigation,14923,0,0,0,14923,
322,169,Ins-Env Venn,12,11,Insurance Non-Litigation,1090,0,0,0,1090,
323,170,Banking-Litigation-Venn,2,1,Banking,1965,0,0,0,1965,
324,171,Intl-Healthcare-Venn,14,13,International Law,393,0,0,0,393,
325,172,Tax Law-M&A Venn,21,20,Tax Law,2148,0,0,0,2148,
326,173,Banking Lit-Consumer-Finance,2,1,Banking,2197,0,0,1283,1024,
327,174,Banking Lit-Regulatory,2,1,Banking,1061,0,0,871,251,
328,175,Banking Lit-Instruments,2,1,Banking,712,0,0,598,147,
329,176,Bankruptcy-Asset-Sales,3,2,Bankruptcy,693,0,0,617,109,
330,177,Bankruptcy-Finance,3,2,Bankruptcy,1867,0,0,1227,752,
331,178,Bankruptcy-Lender,3,2,Bankruptcy,3989,0,0,3301,1023,
332,179,Bankruptcy-Reorganization,3,2,Bankruptcy,3477,0,0,3040,701,
333,180,Bankruptcy-Asset-Recovery,3,2,Bankruptcy,3016,0,0,2645,572,
334,181,Healthcare-Insurance-Venn,10,9,Healthcare Business,1757,0,0,0,1757,
335,182,Tax Prep-Pass-Through,59,53,Tax Return Preparer,1932,0,0,1908,24,
336,183,Tax Prep-Indiv-Tax,59,53,Tax Return Preparer,22956,0,841,21231,1600,
338,184,Tax Prep-Non-Profit (now in Acct),26,24,Accounting All,5,0,0,0,5,
339,185,Tax Prep-Trusts-Estates,59,53,Tax Return Preparer,11762,0,709,10519,1097,
340,186,Tax Prep-Other,59,53,Tax Return Preparer,8216,0,0,8151,90,
341,187,Corp Tax,27,25,Corporate Tax All,9754,0,853,8443,679,
342,188,Not in Strafford Practice Area,22,21,Other/Unknown Practice Areas,2291,0,0,0,2291,
344,189,EstPlan-PersTax-Venn,42,39,Estate Planning,8746,0,0,0,8746,
345,190,ERISA-Tax-Law-Venn,8,7,ERISA,2201,0,0,0,2201,
352,191,Banking-Corp Fin Venn,2,1,Banking,8276,0,0,0,8276,
354,192,CorpFin198-Bankr68-KEEP,20,19,Corporate Finance,2909,0,0,0,2909,
356,193,Municipal-Public-Finance,18,17,Municipal Law,2284,0,0,0,2284,
357,194,Munipical-Corp-Fin-Venn,18,17,Municipal Law,375,0,0,0,375,
358,195,Antitrust Horizontal,1,0,Antitrust,1352,0,0,1232,228,
359,196,Antitrust Vertical,1,0,Antitrust,1124,0,0,1029,151,
360,197,LoanDoc-Mezzanine-SecondLien,61,55,Loan Doc,2905,0,0,2119,1058,
361,198,LoanDoc-Syndicated Loans,61,55,Loan Doc,1293,0,0,902,504,
362,199,LoanDoc-TermsTrends,61,55,Loan Doc,4761,0,0,3825,1463,
363,200,LoanDoc-UCC,61,55,Loan Doc,4851,0,0,3273,2063,
364,201,Class Action-Pre-Certification,4,3,Class Action,2482,0,0,2087,639,
365,202,Class Action-Settlements,4,3,Class Action,570,0,0,495,113,
366,203,Class Action-TrialStrategies,4,3,Class Action,1007,0,0,861,198,
367,204,Class Action-Substantive-Finance,4,3,Class Action,304,0,0,253,62,
368,205,Class Action-Substantive-Privacy,4,3,Class Action,765,0,0,697,124,
369,206,Class Action-Substantive-Products,4,3,Class Action,939,0,0,822,196,
370,207,Construction Contracts,48,42,Construction Law,1790,0,0,1626,254,
371,208,Construction Insurance Risk Mitigation,48,42,Construction Law,6184,0,0,5655,1002,
372,209,Construction-Insurance-Venn,48,42,Construction Law,9362,0,0,0,9362,
373,210,Energy-Fracking,51,45,Energy,437,0,0,401,50,
374,211,Energy-Oil-and-Gas,51,45,Energy,3173,0,0,1309,2084,
375,212,Energy-Renewable-Finance,51,45,Energy,1341,0,0,1121,332,
376,213,Energy-Renewable-Tax,51,45,Energy,631,0,0,558,97,
377,214,Energy-Renewable-Contracts,51,45,Energy,1743,0,0,1574,294,
378,215,Environmental CERCLA,7,6,Environmental,2159,0,0,1909,469,
379,216,M&A-Front End Contracts,35,32,Mergers & Acquisitions,4823,0,0,4132,1129,
380,217,M&A-Structuring Deals,35,32,Mergers & Acquisitions,2734,0,0,2334,579,
381,218,Environmental Transactional,7,6,Environmental,1494,0,0,1319,289,
382,219,Contracts-Technology,32,29,Contracts & Franchise Law,3915,0,0,3532,634,
383,220,Contracts-Supply/Distribution,32,29,Contracts & Franchise Law,2151,0,0,1938,324,
384,221,Contracts-Gen/Commercial,32,29,Contracts & Franchise Law,4257,0,0,3748,756,
385,222,Class Action Temp,4,3,Class Action,1,0,0,0,1,
386,223,GC-Only,29,27,General Counsel,6770,0,0,0,6770,
387,224,Insurance-Bad-Faith,66,60,Insurance Litigation,4320,0,0,3033,1564,
389,225,ERISA-Health,8,7,ERISA,1652,0,0,910,863,
390,226,ERISA-Retirement Plans,8,7,ERISA,2855,0,0,2469,729,
391,227,Patent-Prosecution,36,33,Intellectual Property Law - Patents,8092,0,0,5765,3501,
392,228,Patent-Post-Grant,36,33,Intellectual Property Law - Patents,2497,0,0,2046,702,
393,229,Patent-Transactions-Licensing,36,33,Intellectual Property Law - Patents,1830,0,0,1494,454,
394,230,International-FCPA,14,13,International Law,3803,0,0,3385,703,
395,231,RP Transactions-Leasing,19,18,Real Property Transactions,4353,0,0,3338,1357,
396,232,RP Transactions-Sales,19,18,Real Property Transactions,4326,0,0,3732,913,
397,233,RP Transactions-Proj-Dev,19,18,Real Property Transactions,3013,0,0,2644,589,
398,234,RP Finance-Lending,63,57,Real Property Finance,6431,0,0,5263,1893,
399,235,RP Finance-Leasing,63,57,Real Property Finance,1578,0,0,1272,415,
400,236,RP Fin-Restructuring,63,57,Real Property Finance,675,0,0,551,168,
401,237,RP Finance-Tax,63,57,Real Property Finance,5572,0,0,4573,1517,
402,238,Tax Law-Corporate,21,20,Tax Law,3822,0,0,589,3308,
403,239,Tax Law-Foreign,21,20,Tax Law,4072,0,0,3480,868,
404,240,Tax Law-M&A,21,20,Tax Law,1473,0,0,1293,253,
407,241,Tax Law-Invest-Vehicles,21,20,Tax Law,1577,0,0,1290,404,
408,242,Personal Injury-Medicare,52,46,Personal Injury,4644,0,0,4355,482,
409,243,Emp-Comp-Discrimination-Retaliation,6,5,Employment Non-Litigation,5546,0,0,4194,1692,
410,244,Emp-Comp-Competition/Trade Secrets,6,5,Employment Non-Litigation,1338,0,0,419,941,
411,245,Emp-Comp-Privacy,6,5,Employment Non-Litigation,439,0,0,409,40,
412,246,Employment Agreements,6,5,Employment Non-Litigation,2356,0,0,2196,296,
413,247,Emp-Lit-Discrimination-Retaliation,64,58,Employment Litigation,1868,0,0,1570,391,
414,248,Emp-Lit-Competition/Trade Secrets,64,58,Employment Litigation,1055,0,0,704,387,
415,249,Emp-Lit-Privacy,64,58,Employment Litigation,1,0,0,0,1,
416,250,Emp-Lit-Procedural,64,58,Employment Litigation,4071,0,0,3745,594,
417,251,Acct-Group-Site-License,26,24,Accounting All,171,0,0,0,171,
418,252,Employment HR,6,5,Employment Non-Litigation,2570,0,0,2411,290,
419,253,Patent Agents,36,33,Intellectual Property Law - Patents,844,0,0,0,844,
420,254,Litigation-Discovery,17,16,Litigation,2456,0,0,2203,378,
421,255,Litigation-Damages,17,16,Litigation,1028,0,0,886,197,
422,256,Litigation-Jurisdiction,17,16,Litigation,1173,0,0,1078,141,
423,257,Litigation-Depositions,17,16,Litigation,2544,0,0,2309,382,
424,258,Litigation-Trial-Techniques,17,16,Litigation,4093,0,0,3709,592,
425,259,Litigation-Substantive,17,16,Litigation,954,0,0,868,120,
426,260,Tax Prep-Foreign Individual,59,53,Tax Return Preparer,11735,0,710,10470,1084,
427,261,Foreign Business,27,25,Corporate Tax All,11304,0,717,9787,1406,
428,262,Tax Preparer-Business-Domain-CPA-New-2015,59,53,Tax Return Preparer,25071,0,0,0,25071,
429,263,Tax Preparer-Personal-Domain-CPA-New-2015,59,53,Tax Return Preparer,401,0,0,0,401,
430,264,Enrolled-Agent-Business-Domain-New-2015,60,54,Enrolled Agents,6148,0,0,0,6148,
431,265,Enrolled-Agent-Personal-Domain-New-2015,60,54,Enrolled Agents,10461,0,0,0,10461,
432,266,ERPA-New-2015,60,54,Enrolled Agents,725,0,0,0,725,
433,267,Personal Injury-Trial-Strategies,52,46,Personal Injury,5127,0,0,4734,601,
434,268,Tax Law-Trusts-and-Estates,21,20,Tax Law,353,0,0,349,4,
435,269,Tax Prep-Pass-Through-Planning,59,53,Tax Return Preparer,18601,0,863,16465,2113,
436,270,Tax Prep-Pass-Through-Forms,59,53,Tax Return Preparer,20220,0,822,18335,1724,
437,271,Tax Prep-Pass-Through-S-Corp,59,53,Tax Return Preparer,16220,0,1160,14846,601,
438,272,Personal Injury-Substantive,52,46,Personal Injury,6607,0,0,6187,764,
439,273,Trademarks-Contracts,13,12,Intellectual Property Law - Other,1255,0,0,1089,249,
440,274,Trademarks-Internet,13,12,Intellectual Property Law - Other,1942,0,0,1661,453,
441,275,Trademarks-Prosecution,13,12,Intellectual Property Law - Other,1986,0,0,1538,621,
442,276,Trademarks-Enforcement,13,12,Intellectual Property Law - Other,622,0,0,488,168,
443,277,Trademarks-International,13,12,Intellectual Property Law - Other,851,0,0,726,185,
444,278,Municipal Regulation,18,17,Municipal Law,1639,0,0,1484,278,
445,279,Municipal Finance-Admin,18,17,Municipal Law,1046,0,0,920,180,
447,280,Law Firm Marketing Professionals,15,14,Law Firm Management,57,0,0,0,57,
448,281,Accounting-Estate Planning,26,24,Accounting All,2715,0,0,0,2715,
449,282,Tax Preparer-Business-Domain-CPA-New-2015-2,59,53,Tax Return Preparer,3202,0,0,0,3202,
450,283,Tax Law-Private Equity Venn,21,20,Tax Law,784,0,0,0,784,
453,284,Insurance-Defense,12,11,Insurance Non-Litigation,604,0,0,0,604,
455,285,Pro Bono,62,56,Pro Bono,472,0,0,0,472,
456,286,Healthcare-Finance-Venn,10,9,Healthcare Business,1300,0,0,0,1300,
457,287,ERISA-Emp-Venn,8,7,ERISA,2564,0,0,0,2564,
458,288,Antitrust-IP/Patent-Venn,1,0,Antitrust,1275,0,0,0,1275,
459,289,Tax Preparer-Business-Domain-CPA-New-2016,59,53,Tax Return Preparer,11185,0,0,0,11185,
460,290,Enrolled-Agent-Business-Domain-New-2016,60,54,Enrolled Agents,1901,0,0,0,1901,
461,291,ERPA-New-2016,60,54,Enrolled Agents,190,0,0,0,190,
462,292,Corporate Audit/Investigations,9,8,Corporate Law,613,0,0,434,196,
463,293,Corporate Data Governance,9,8,Corporate Law,826,0,0,639,217,
464,294,Corporate D&O Issues,9,8,Corporate Law,434,0,0,191,255,
465,295,Corporate Legal Dept Policy,9,8,Corporate Law,423,0,0,268,173,
466,296,Corporate Risk Mgt,9,8,Corporate Law,395,0,0,279,123,
467,297,Corporate LLC/Partnerships,9,8,Corporate Law,1508,0,0,664,904,
468,298,Health Business Employment,10,9,Healthcare Business,476,0,0,339,156,
469,299,Health Business Physician Groups,10,9,Healthcare Business,236,0,0,178,69,
470,300,Health Business Telemedicine,10,9,Healthcare Business,559,0,0,397,197,
471,301,Health Business Clinical Integration,10,9,Healthcare Business,540,0,0,296,278,
472,302,Health Business Managed Care,10,9,Healthcare Business,302,0,0,180,139,
473,303,Health Business Non-Hospital,10,9,Healthcare Business,524,0,0,289,255,
474,304,Patent-Prosecution-Biotech-Chemical-Pharma,36,33,Intellectual Property Law - Patents,1231,0,0,667,661,
475,305,Patent-Prosecution-Computer/Electronic,36,33,Intellectual Property Law - Patents,1687,0,0,1263,559,
476,306,Patent-Prosecution-Design,36,33,Intellectual Property Law - Patents,985,0,0,634,433,
477,307,Patent-Prosecution-International,36,33,Intellectual Property Law - Patents,431,0,0,252,206,
478,308,Municipal-Emp Venn,18,17,Municipal Law,1222,0,0,0,1222,
479,309,Personal Tax Law - Personal Domains,58,52,Personal Tax,10139,0,0,0,10139,
480,310,Personal Tax Law - Business Domains,58,52,Personal Tax,18155,0,0,0,18155,
481,311,Tax-Preparer-Business-Domain-CPA-ALL,59,53,Tax Return Preparer,94295,0,0,0,94295,
482,312,Tax-Preparer-Personal-Domain-CPA-ALL,59,53,Tax Return Preparer,101701,0,0,0,101701,
483,313,Enrolled Agent-Business Domain-ALL,60,54,Enrolled Agents,13173,0,0,0,13173,
484,314,Enrolled Agent-Personal Domain-ALL,60,54,Enrolled Agents,39561,0,0,0,39561,
485,315,ERPA - Enrolled Retirement Plan Agent-ALL,60,54,Enrolled Agents,856,0,0,0,856,
486,316,ERISA-M&A Venn,8,7,ERISA,670,0,0,0,670,
487,317,Corporate Secretary,29,27,General Counsel,1706,0,0,0,1706,
488,318,Bankruptcy-Corp Fin Venn,3,2,Bankruptcy,2845,0,0,0,2845,
489,319,Energy-Banking-Venn,51,45,Energy,1174,0,0,0,1174,
490,320,M&A Banking Venn,35,32,Mergers & Acquisitions,3532,0,0,0,3532,
491,321,Derivatives & Futures Law,20,19,Corporate Finance,220,0,0,0,220,
492,322,Securitization & Structured Finance,20,19,Corporate Finance,191,0,0,0,191,
493,323,Real Prop-M&A Venn,19,18,Real Property Transactions,2956,0,0,0,2956,
494,324,Energy-Tax-Law Venn,51,45,Energy,652,0,0,0,652,
495,325,Healthcare-Tax Law Venn,10,9,Healthcare Business,1608,0,0,0,1608,
496,326,Health Comp-HIPAA,65,59,Healthcare Compliance,247,0,0,0,247,
497,327,Health Comp-Medicare-Medicaid,65,59,Healthcare Compliance,241,0,0,37,207,
498,328,Construction-Finance-Venn,48,42,Construction Law,1214,0,0,0,1214,
499,329,Finance Professionals,27,25,Corporate Tax All,330,0,0,0,330,
500,330,Healthcare-Emp Venn,10,9,Healthcare Business,4568,0,0,0,4568,
801,331,CPE Annual Pass,26,24,Accounting All,129,0,0,0,129,
850,332,CLE Annual Pass,34,31,Legal All,118,0,0,0,118,
